Algorithm,Seed,Train,Test
ABC,1,23861.030176956636,2282.103710886141
ABC,7,20683.083780143537,4272.214437025414
ABC,13,22711.34455332905,2233.8067851747915
ABC,21,22105.599830644387,2302.9733613529334
ABC,42,21275.881292151116,1169.8991753748362
ABC,50,18983.11485147348,3697.0462550551824
ABC,65,22857.494670271208,1752.984972880678
ABC,77,20582.656609508882,3350.6642512167646
ABC,88,29067.59222252107,2619.7586487563226
ABC,99,25717.914621946686,3143.7303668104355
PSO,1,25906.34060785974,1892.2005910795344
PSO,7,30257.91603397897,1539.8875825961438
PSO,13,24220.095489118183,2107.26973927051
PSO,21,25105.096260853486,2499.7178624267576
PSO,42,29312.815491767007,1477.0081629535582
PSO,50,24670.137196112053,1892.2005910795344
PSO,65,26365.921310730235,1787.9322575517554
PSO,77,30529.53517718619,1692.5311403394576
PSO,88,23442.91752451441,2312.09886202311
PSO,99,27967.26395338087,1747.1361894552144
PSO-SA,1,26946.888618353136,2284.690359378432
PSO-SA,7,24785.384216152877,2348.896938448433
PSO-SA,13,26463.638296097655,3674.0110929085054
PSO-SA,21,24106.905080530854,2118.2961514643835
PSO-SA,42,32787.64252734103,2076.53627530661
PSO-SA,50,26782.60889702507,2047.5616954401369
PSO-SA,65,25170.6952081115,2448.6075827461955
PSO-SA,77,24897.883951656873,3489.8677313728135
PSO-SA,88,28652.99154463865,2268.3234781200676
PSO-SA,99,25209.1743208199,1737.378346670071
